f_id,id,name,funded_at,amount,source
f:1914,531,Signal Peak Technology Ventures,2011-08-12,24200000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110812e78f00105&r=Rss&s=DJFVW
f:2489,532,Hatteras Venture Partners IV,2013-01-07,125000000.0,http://www.finsmes.com/2013/01/hatteras-venture-partners-closes-fourth-fund-125m.html
f:648,534,Covera Ventures Fund II,2011-08-18,125000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110818e78i0002u&r=Rss&s=DJFVW
f:443,535,DCM Fund VI,2010-07-21,400000000.0,http://deals.venturebeat.com/2010/07/21/dcm-fund-slingbo/
f:5957,536,Fund II,2011-08-22,40000000.0,http://techcrunch.com/2011/08/22/thrive-capital-raises-new-40-million-scalable-fund/
f:7932,537,SK Capital Partners III,2011-08-19,500000000.0,http://www.skcapitalpartners.com/content/sk-capital-partners-closes-first-institutional-fund-500-million-hard-cap
f:244,538,MentorTech Ventures III LP,2011-08-23,40000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110823e78o000jh&r=Rss&s=DJFVW
f:4769,539,Fund I,2011-08-25,47000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110825e78q0015q&r=Rss&s=DJFVW
f:7977,541,Tennenbaum Opportunities Fund VI,2011-08-30,530000000.0,http://www.finsmes.com/2011/08/tennenbaum-capital-partners-closes-530m-fund-vi.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:2250,543,Health-Care royalties fund I,2011-08-31,600000000.0,http://www.fiercebiotech.com/story/orbimed-launches-600m-fund-royalty-debt-deals/2011-08-31?utm_medium=rss&utm_source=rss
f:7999,544,CrunchFund I,2011-09-01,27000000.0,http://finance.fortune.cnn.com/2013/05/07/crunchfunds-future/
f:379,545,WI Harper Fund VII,2011-09-01,110000000.0,http://www.finsmes.com/2011/09/wi-harper-group-closes-wih-fund-7-110m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:1334,547,JVP Opportunity VI,2011-09-07,80000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110907e798001md&r=Rss&s=DJFVW
f:2737,550,Fund I,2011-09-12,27000000.0,http://techcrunch.com/2011/09/12/freestyle-capital/
f:8061,551,FCP Fund II,2011-09-13,91000000.0,http://www.finsmes.com/2011/09/capital-partners-raises-91m-fund.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:134,552,Menlo Talent Fund,2011-09-13,20000000.0,http://venturebeat.com/2011/09/13/menlo-talent-fund-disrupt/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
f:7255,553,Maiden Fund,2011-09-14,100000000.0,http://www.finsmes.com/2011/09/renovus-capital-partners-raises-100m-maiden-fund.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:3586,554,Health-Care Fund,2011-09-14,159300000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110914e79f000ul&r=Rss&s=DJFVW
f:2759,557,Avrio Ventures LLP II,2011-09-22,50000000.0,http://www.finsmes.com/2011/09/avrio-ventures-holds-close-fund-50m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:7833,558,Debut Fund,2011-09-26,130000000.0,http://www.finsmes.com/2011/09/level-equity-closes-fund-130m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
