c_id,f_id,date,round,amount
c:1401,f:1555,2008-11-11,series-b,5000000
c:7184,f:1234,2008-06-17,series-b,11000000
c:7184,f:375,2008-06-17,series-b,11000000
c:7184,f:28,2008-06-17,series-b,11000000
c:7184,f:806,2008-06-17,series-b,11000000
c:7201,f:249,2008-06-18,venture,26000000
c:7201,f:23,2008-06-18,venture,26000000
c:7201,f:4,2008-06-18,venture,26000000
c:7201,f:966,2008-06-18,venture,26000000
c:7301,f:1238,2007-08-31,series-a,3200000
c:7286,f:367,2007-07-30,series-c+,7800000
c:7286,f:1239,2007-07-30,series-c+,7800000
c:7286,f:309,2008-06-25,series-c+,10000000
c:7286,f:367,2008-06-25,series-c+,10000000
c:7329,f:1241,2008-06-01,angel,750000
c:7329,f:1396,2008-06-01,angel,750000
c:1319,f:94,2007-10-08,series-b,10000000
c:1319,f:437,2007-10-08,series-b,10000000
c:701,f:34,2008-06-26,series-a,1500000
c:701,f:96,2008-06-26,series-a,1500000
c:1448,f:224,2008-06-30,series-c+,40000000
c:1448,f:91,2008-06-30,series-c+,40000000
c:1448,f:578,2008-06-30,series-c+,40000000
c:1448,f:277,2008-06-30,series-c+,40000000
c:1448,f:225,2008-06-30,series-c+,40000000
c:2569,f:425,2008-06-25,series-a,4600000
c:7076,f:905,2006-01-01,series-a,3500000
c:7076,f:1,2008-07-07,series-b,12000000
c:2964,f:1273,2008-07-09,venture,12000000
c:2964,f:1274,2008-07-09,venture,12000000
c:2964,f:141,2008-07-09,venture,12000000
c:2964,f:492,2008-07-09,venture,12000000
c:8092,f:36,2008-07-08,venture,75000000
c:1308,f:477,2008-07-01,series-a,0
c:1308,f:1294,2008-07-01,series-a,0
c:1308,f:446,2008-07-01,series-a,0
c:326,f:174,2008-07-15,series-c+,14000000
c:326,f:147,2008-07-15,series-c+,14000000
c:326,f:204,2008-07-15,series-c+,14000000
c:326,f:11,2008-07-15,series-c+,14000000
c:326,f:109,2008-07-15,series-c+,14000000
c:6454,f:1037,2008-07-01,series-a,1800000
c:6454,f:737,2008-07-01,series-a,1800000
c:6920,f:1299,2008-07-14,other,3500000
c:5377,f:1302,2008-07-15,venture,2700000
c:5377,f:1303,2008-07-15,venture,2700000
c:5377,f:5869,2008-07-15,venture,2700000
c:3638,f:269,2010-07-28,series-c+,3000000
c:3638,f:139,2010-07-28,series-c+,3000000
c:3638,f:2078,2010-07-28,series-c+,3000000
c:3638,f:313,2010-07-28,series-c+,3000000
c:3623,f:319,2008-07-17,series-c+,8000000
c:5946,f:4,2008-07-15,series-a,10000000
c:5946,f:96,2008-07-15,series-a,10000000
c:4004,f:48,2008-04-09,series-b,7250000
c:2845,f:55,2005-11-01,series-a,2500000
c:8583,f:1312,2008-07-21,series-a,5000000
c:8615,f:17,2008-07-21,series-b,5600000
c:8623,f:45,2008-07-21,series-a,1500000
c:4882,f:244,2008-06-20,venture,750000
c:1348,f:1325,2000-01-01,angel,1300000
c:8724,f:1328,2008-06-27,series-b,35000000
c:8724,f:343,2008-06-27,series-b,35000000
c:8724,f:3742,2008-06-27,series-b,35000000
c:8724,f:789,2008-06-27,series-b,35000000
c:8724,f:2370,2008-06-27,series-b,35000000
c:832,f:6,2008-07-30,series-b,14500000
c:832,f:45,2008-07-30,series-b,14500000
c:832,f:390,2008-07-30,series-b,14500000
c:9038,f:180,2008-07-29,series-a,7000000
c:9038,f:120,2008-07-29,series-a,7000000
c:9321,f:1359,2008-08-04,series-b,11000000
