invested_id,investor_id,date,round,amount
c:214022,p:191907,2013-05-21,series-a,2900000
c:171035,p:34089,2013-04-21,angel,0
c:140606,p:450,2011-04-01,angel,0
c:140606,p:218124,2011-04-01,angel,0
c:140606,p:66272,2011-04-01,angel,0
c:187653,p:82512,2013-05-22,angel,1100000
c:187653,p:46414,2013-05-22,angel,1100000
c:187653,p:35256,2013-05-22,angel,1100000
c:187653,p:192083,2013-05-22,angel,1100000
c:182498,p:192187,2013-05-22,series-a,2100000
c:214613,p:5785,2013-05-22,angel,1000000
c:214613,p:130740,2013-05-22,angel,1000000
c:214613,p:220822,2013-05-22,angel,1000000
c:214613,p:228053,2013-05-22,angel,1000000
c:214651,p:202119,2013-05-22,angel,1200000
c:148848,p:1631,2013-05-01,series-b,15000000
c:78014,p:8525,2013-05-01,series-c+,18000000
c:78014,p:95173,2013-05-01,series-c+,18000000
c:32175,p:743,2013-05-24,series-b,2150000
c:216806,p:67645,2013-05-24,series-a,2000000
c:188422,p:79367,2012-08-01,angel,1120000
c:188422,p:89687,2012-08-01,angel,1120000
c:217318,p:23250,2013-05-27,series-a,1500000
c:217318,p:4583,2013-05-27,series-a,1500000
c:217318,p:198299,2013-05-27,series-a,1500000
c:217318,p:198300,2013-05-27,series-a,1500000
c:217318,p:198301,2013-05-27,series-a,1500000
c:217318,p:198302,2013-05-27,series-a,1500000
c:217318,p:198303,2013-05-27,series-a,1500000
c:173749,p:52947,2013-05-28,series-a,4500000
c:173749,p:44969,2013-05-28,series-a,4500000
c:173749,p:61857,2013-05-28,series-a,4500000
c:208219,p:32033,2013-05-28,series-a,1500000
c:160585,p:150502,2012-08-02,series-a,7000000
c:171425,p:243481,2013-10-08,angel,64000
c:171425,p:243482,2013-10-08,angel,64000
c:218156,p:8136,2013-05-29,angel,1250000
c:218156,p:87767,2013-05-29,angel,1250000
c:218156,p:126377,2013-05-29,angel,1250000
c:218156,p:194275,2013-05-29,angel,1250000
c:218156,p:43995,2013-05-29,angel,1250000
