invested_id,investor_id,date,round,amount
c:67916,c:1972,2012-05-14,series-a,4500000
c:158546,c:78430,2012-05-15,series-c+,25000000
c:58846,c:838,2012-05-17,series-c+,100000000
c:72527,c:2520,2012-05-17,series-a,2100000
c:158750,c:44251,2011-06-01,angel,75000
c:68724,c:44251,2010-06-01,angel,15000
c:158895,c:44251,2011-06-01,angel,75000
c:28085,c:44251,2011-06-01,angel,75000
c:158900,c:44251,2011-06-01,angel,25000
c:1522,c:8750,2012-05-21,venture,2000000
c:45624,c:2520,2012-05-24,angel,1400000
c:46308,c:17066,2012-05-25,series-b,30000000
c:46308,c:14046,2012-05-25,series-b,30000000
c:46308,c:38866,2012-05-25,series-b,30000000
c:46308,c:56009,2012-05-25,series-b,30000000
c:150849,c:2520,2012-05-25,series-a,3300000
c:159688,c:2520,2012-05-29,angel,800000
c:266057,c:54431,2011-11-01,angel,1000000
c:52406,c:53823,2012-06-05,series-b,9000000
c:52406,c:160503,2012-06-05,series-b,9000000
c:40165,c:24097,2012-06-06,venture,3000000
c:82443,c:63992,2012-06-07,venture,14000000
c:44692,c:139356,2012-06-07,series-b,20000000
c:153097,c:2520,2012-06-07,angel,1400000
c:5582,c:161042,2012-06-11,venture,45000000
c:67418,c:20953,2012-06-12,angel,910000
c:67418,c:591,2012-06-12,angel,910000
c:161299,c:161303,2012-06-13,series-c+,21000000
c:161299,c:9419,2012-06-13,series-c+,21000000
c:43907,c:31615,2012-06-13,series-b,25000000
c:70382,c:38866,2012-06-15,series-b,31400000
c:70382,c:1640,2012-06-15,series-b,31400000
c:22295,c:77195,2012-06-18,series-c+,135000000
c:162182,c:250,2010-09-01,series-a,8000000
c:162182,c:20953,2010-09-01,series-a,8000000
c:155509,c:6470,2012-06-21,series-b,17300000
c:41603,c:162608,2012-06-25,series-c+,9000000
c:41603,c:162722,2012-06-25,series-c+,9000000
c:162721,c:2520,2012-06-01,angel,20000
c:77834,c:1230,2012-07-03,venture,6000000
c:58531,c:362,2011-03-15,angel,300000
c:164093,c:30822,2012-07-09,venture,1000000
c:78008,c:73652,2012-07-10,venture,2100000
c:45395,c:164303,2012-07-06,series-b,13400000
c:45395,c:6041,2012-07-06,series-b,13400000
c:53343,c:73822,2012-07-17,series-b,11000000
c:21515,c:32435,2012-07-18,series-a,3500000
c:169876,c:35531,2012-07-18,series-c+,105000000
c:165224,c:2520,2012-08-14,series-a,2500000
c:109,c:28,2012-07-23,venture,10000000
c:32773,c:233529,2012-07-23,venture,3460000
c:151467,c:1972,2012-07-24,series-a,2700000
c:5611,c:396,2012-07-25,series-c+,45000000
c:5611,c:48671,2012-07-25,series-c+,45000000
c:109480,c:42960,2012-07-26,series-b,76000000
c:77626,c:362,2012-07-27,angel,525000
c:75799,c:317,2012-07-30,angel,1400000
c:166520,c:2520,2012-07-30,series-a,2800000
c:66945,c:76224,2012-07-31,angel,1000000
c:159723,c:2520,2012-08-02,series-a,13900000
c:66231,c:179680,2012-08-09,angel,1000000
c:73908,c:36547,2011-07-13,series-a,1300000
c:85966,c:48006,2011-12-01,angel,380000
c:35499,c:10119,2012-08-07,series-c+,12000000
c:22784,c:4135,2012-09-17,series-c+,200000000
c:22784,c:171756,2012-09-17,series-c+,200000000
c:1873,c:63992,2012-08-14,venture,21500000
c:165901,c:2520,2012-08-14,other,900000
c:158606,c:168311,2012-08-16,series-b,10750000
c:168904,c:35739,2012-08-21,venture,12000000
c:47966,c:323,2012-08-22,series-b,25500000
c:169126,c:154011,2012-08-23,series-a,20000000
c:169497,c:169496,2012-08-27,series-c+,50000000
c:24252,c:1972,2012-08-27,series-b,3000000
c:169663,c:143982,2012-08-28,series-a,0
c:169785,c:169784,2011-04-01,series-b,17800000
c:159490,c:44251,2012-06-01,angel,75000
c:159497,c:44251,2012-06-01,angel,75000
c:159514,c:44251,2012-06-01,angel,75000
c:168018,c:41355,2013-03-18,series-a,2700000
c:170682,c:170683,2012-09-05,venture,21000000
c:66124,c:1640,2013-01-01,series-b,41500000
c:158895,c:7913,2012-07-17,series-a,1200000
c:140129,c:117380,2012-09-12,series-b,77199900
c:46007,c:52207,2012-09-20,series-b,42500000
c:172205,c:2520,2012-09-21,venture,250000
c:140441,c:167989,2012-09-26,series-a,3000000
c:58387,c:35739,2012-09-25,series-a,4200000
c:73066,c:58,2012-10-01,angel,1000000
c:158354,c:85007,2012-10-03,angel,1100000
c:173420,c:16441,2012-10-04,series-a,1500000
c:173515,c:231067,2012-10-05,angel,1100000
c:173515,c:2520,2012-10-05,angel,1100000
c:23382,c:29983,2012-10-05,series-c+,12000000
c:173548,c:148835,2012-10-05,angel,1000000
c:53254,c:1504,2012-10-08,venture,7500000
c:53254,c:42276,2012-10-08,venture,7500000
c:147795,c:4304,2012-10-09,series-c+,55000000
